Año,Mes,LPEI rural,LPEI urbano,LPI rural,LPI urbano
2016,01,"=""1034.91""","=""1361.27""","=""2050.88""","=""2942.13"""
2016,02,"=""1043.98""","=""1371.40""","=""2063.49""","=""2955.60"""
2016,03,"=""1040.96""","=""1368.13""","=""2060.89""","=""2952.02"""
2016,04,"=""1036.83""","=""1365.67""","=""2049.55""","=""2933.79"""
2016,05,"=""1029.74""","=""1360.75""","=""2028.00""","=""2899.90"""
2016,06,"=""1018.70""","=""1350.92""","=""2018.56""","=""2889.49"""
2016,07,"=""1015.44""","=""1348.81""","=""2019.01""","=""2893.10"""
2016,08,"=""1018.43""","=""1351.24""","=""2030.14""","=""2903.91"""
2016,09,"=""1043.65""","=""1375.79""","=""2061.58""","=""2934.54"""
2016,10,"=""1046.15""","=""1378.54""","=""2076.30""","=""2957.39"""
2016,11,"=""1052.21""","=""1385.68""","=""2098.01""","=""2990.97"""
2016,12,"=""1063.71""","=""1400.83""","=""2111.78""","=""3008.30"""
2017,01,"=""1061.81""","=""1404.52""","=""2139.43""","=""3073.59"""
2017,02,"=""1055.86""","=""1401.71""","=""2141.05""","=""3083.71"""
2017,03,"=""1067.37""","=""1414.80""","=""2157.03""","=""3100.13"""
2017,04,"=""1080.81""","=""1428.69""","=""2164.70""","=""3098.55"""
2017,05,"=""1090.90""","=""1438.96""","=""2166.75""","=""3088.19"""
2017,06,"=""1099.98""","=""1449.85""","=""2176.50""","=""3099.40"""
2017,07,"=""1120.08""","=""1471.60""","=""2196.08""","=""3118.14"""
2017,08,"=""1141.94""","=""1495.99""","=""2223.10""","=""3151.64"""
2017,09,"=""1146.75""","=""1504.81""","=""2235.02""","=""3169.87"""
2017,10,"=""1130.92""","=""1491.07""","=""2234.20""","=""3191.59"""
2017,11,"=""1138.99""","=""1498.97""","=""2261.49""","=""3234.85"""
2017,12,"=""1153.50""","=""1513.63""","=""2281.08""","=""3256.93"""
2018,01,"=""1151.09""","=""1514.91""","=""2287.90""","=""3275.25"""
2018,02,"=""1135.16""","=""1500.89""","=""2281.77""","=""3275.63"""
2018,03,"=""1148.31""","=""1514.18""","=""2299.54""","=""3293.28"""
2018,04,"=""1147.23""","=""1514.53""","=""2291.99""","=""3275.93"""
2018,05,"=""1136.49""","=""1504.32""","=""2270.87""","=""3250.97"""
2018,06,"=""1135.34""","=""1506.10""","=""2274.35""","=""3264.70"""
2018,07,"=""1145.50""","=""1521.44""","=""2288.44""","=""3287.59"""
2018,08,"=""1164.75""","=""1544.07""","=""2316.57""","=""3325.40"""
2018,09,"=""1168.41""","=""1547.62""","=""2328.05""","=""3346.84"""
2018,10,"=""1165.41""","=""1543.15""","=""2338.47""","=""3364.85"""
2018,11,"=""1185.71""","=""1562.69""","=""2374.07""","=""3405.41"""
2018,12,"=""1208.47""","=""1586.96""","=""2397.37""","=""3427.76"""
2019,01,"=""1218.00""","=""1600.70""","=""2406.97""","=""3437.22"""
2019,02,"=""1201.97""","=""1587.74""","=""2397.13""","=""3434.31"""
2019,03,"=""1208.60""","=""1595.99""","=""2410.53""","=""3455.04"""
2019,04,"=""1216.56""","=""1605.23""","=""2410.63""","=""3446.57"""
2019,05,"=""1210.27""","=""1598.44""","=""2392.29""","=""3415.63"""
2019,06,"=""1201.19""","=""1589.23""","=""2382.82""","=""3400.13"""
2019,07,"=""1218.42""","=""1608.23""","=""2401.91""","=""3419.07"""
2019,08,"=""1209.70""","=""1602.22""","=""2397.69""","=""3417.87"""
2019,09,"=""1209.15""","=""1602.47""","=""2402.40""","=""3428.43"""
2019,10,"=""1211.57""","=""1604.28""","=""2417.25""","=""3451.93"""
2019,11,"=""1224.81""","=""1617.70""","=""2447.85""","=""3494.41"""
2019,12,"=""1240.98""","=""1637.36""","=""2467.13""","=""3518.75"""
2020,01,"=""1255.26""","=""1653.99""","=""2485.63""","=""3538.97"""
2020,02,"=""1264.80""","=""1663.30""","=""2497.08""","=""3549.11"""
2020,03,"=""1278.35""","=""1676.85""","=""2501.32""","=""3542.59"""
2020,04,"=""1279.37""","=""1677.69""","=""2467.72""","=""3475.81"""
2020,05,"=""1289.46""","=""1689.30""","=""2474.23""","=""3482.44"""
2020,06,"=""1279.09""","=""1679.08""","=""2481.77""","=""3504.34"""
2020,07,"=""1287.59""","=""1688.57""","=""2503.19""","=""3536.85"""
2020,08,"=""1299.30""","=""1702.28""","=""2520.16""","=""3559.88"""
2020,09,"=""1308.91""","=""1713.31""","=""2534.21""","=""3577.67"""
2020,10,"=""1319.60""","=""1724.37""","=""2554.23""","=""3606.30"""
2020,11,"=""1315.69""","=""1721.00""","=""2555.51""","=""3610.96"""
2020,12,"=""1306.48""","=""1713.89""","=""2555.74""","=""3619.27"""
2021,01,"=""1313.46""","=""1725.66""","=""2574.92""","=""3660.64"""
2021,02,"=""1313.69""","=""1728.88""","=""2585.71""","=""3686.90"""
2021,03,"=""1326.23""","=""1741.89""","=""2606.06""","=""3717.18"""
2021,04,"=""1344.23""","=""1759.59""","=""2617.71""","=""3722.42"""
2021,05,"=""1360.83""","=""1778.98""","=""2622.13""","=""3717.71"""
2021,06,"=""1370.74""","=""1793.40""","=""2636.95""","=""3740.41"""
2021,07,"=""1383.84""","=""1810.09""","=""2653.87""","=""3767.25"""
2021,08,"=""1399.36""","=""1828.54""","=""2673.60""","=""3775.94"""
2021,09,"=""1417.04""","=""1847.27""","=""2698.75""","=""3808.81"""
2021,10,"=""1418.86""","=""1850.69""","=""2715.42""","=""3843.24"""
2021,11,"=""1447.57""","=""1879.04""","=""2761.81""","=""3898.53"""
2021,12,"=""1463.43""","=""1901.66""","=""2784.70""","=""3916.83"""
2022,01,"=""1481.10""","=""1930.38""","=""2812.34""","=""3958.00"""
2022,02,"=""1496.32""","=""1950.26""","=""2837.57""","=""3997.24"""
2022,03,"=""1517.96""","=""1974.57""","=""2870.28""","=""4042.73"""
2022,04,"=""1522.44""","=""1978.54""","=""2874.15""","=""4041.25"""
2022,05,"=""1523.90""","=""1982.45""","=""2866.12""","=""4024.62"""
2022,06,"=""1544.88""","=""2011.99""","=""2898.16""","=""4065.11"""
